"FileName","LibPath","CommonPath","Status","LibHash","CommonHash","DiffFile"
"msgangel.proto","D:\project\serverGame\开箱h5\server\server\src\servercommon\proto\msgangel.proto","D:\project\serverGame\GameServer\common-lib\src\main\proto\cs\msgangel.proto","Different","303B0D5F333731D5DE3ADA6D47E1DEB2CB19F6FC","4BA21F8CE5DF48EF66A571C83C6707AAD053C525","C:\Users\trieu\AppData\Local\Temp\proto-diffs\msgangel.proto.diff.txt"
"msgarena.proto","D:\project\serverGame\开箱h5\server\server\src\servercommon\proto\msgarena.proto","D:\project\serverGame\GameServer\common-lib\src\main\proto\cs\msgarena.proto","Different","CADFACC294C3D86216152F01E75B4B7711902CF2","81C2436460A3A6BBCD442844199B655EE35A941B","C:\Users\trieu\AppData\Local\Temp\proto-diffs\msgarena.proto.diff.txt"
"msgbattle.proto","D:\project\serverGame\开箱h5\server\server\src\servercommon\proto\msgbattle.proto","D:\project\serverGame\GameServer\common-lib\src\main\proto\cs\msgbattle.proto","Different","8726981654516ABC63F8A90AD2DAF6139B481E29","D39215D5190DBE572EF606088F5C792F18455306","C:\Users\trieu\AppData\Local\Temp\proto-diffs\msgbattle.proto.diff.txt"
"msgblock.proto","D:\project\serverGame\开箱h5\server\server\src\servercommon\proto\msgblock.proto","D:\project\serverGame\GameServer\common-lib\src\main\proto\cs\msgblock.proto","Different","5853D638B6E04F6551AD726EF3DC7120F7E92E62","4D77CC27C7F5BB0E6BFD08633DFDDC7C6F032335","C:\Users\trieu\AppData\Local\Temp\proto-diffs\msgblock.proto.diff.txt"
"msgbox.proto","D:\project\serverGame\开箱h5\server\server\src\servercommon\proto\msgbox.proto","D:\project\serverGame\GameServer\common-lib\src\main\proto\cs\msgbox.proto","Different","410364248302C05614E5EF52482D3B58178662DA","032813529FB31BE0644A0A064051387359E89AD4","C:\Users\trieu\AppData\Local\Temp\proto-diffs\msgbox.proto.diff.txt"
"msgcross.proto","D:\project\serverGame\开箱h5\server\server\src\servercommon\proto\msgcross.proto","D:\project\serverGame\GameServer\common-lib\src\main\proto\cs\msgcross.proto","Different","0B28FE1FD806E7CB44C8456718A8EB8FB1CF2337","79D004758D9E6A32E3498DEB39C42FAEB78C9665","C:\Users\trieu\AppData\Local\Temp\proto-diffs\msgcross.proto.diff.txt"
"msgentergs.proto","D:\project\serverGame\开箱h5\server\server\src\servercommon\proto\msgentergs.proto","D:\project\serverGame\GameServer\common-lib\src\main\proto\cs\msgentergs.proto","Different","C91F2D2B5056B9D37EE38E7F6F8C345890D6F96A","C83A412134D79A8C3F7A4EDC83C684773BC50AEF","C:\Users\trieu\AppData\Local\Temp\proto-diffs\msgentergs.proto.diff.txt"
"msgequip.proto","D:\project\serverGame\开箱h5\server\server\src\servercommon\proto\msgequip.proto","D:\project\serverGame\GameServer\common-lib\src\main\proto\cs\msgequip.proto","Different","52A4A0A38475ED4EF76C1301C1C6B91C0E2E27FC","2B820FD128F8691D9A1F28C711534BB1478EDAC3","C:\Users\trieu\AppData\Local\Temp\proto-diffs\msgequip.proto.diff.txt"
"msgescort.proto","D:\project\serverGame\开箱h5\server\server\src\servercommon\proto\msgescort.proto","D:\project\serverGame\GameServer\common-lib\src\main\proto\cs\msgescort.proto","Different","CB84351BE0C6230C4B53FA61B3309415F1D9C42D","DD42DB1E8483FDAE3252B061875162ADAF42677E","C:\Users\trieu\AppData\Local\Temp\proto-diffs\msgescort.proto.diff.txt"
"msggm.proto","D:\project\serverGame\开箱h5\server\server\src\servercommon\proto\msggm.proto","D:\project\serverGame\GameServer\common-lib\src\main\proto\cs\msggm.proto","Different","8B31D69E22B4F2D3C3813A224F134A6E759FEC36","61C74812735730BDB4AB5B6B534DF9353B7CE1CB","C:\Users\trieu\AppData\Local\Temp\proto-diffs\msggm.proto.diff.txt"
"msgguild.proto","D:\project\serverGame\开箱h5\server\server\src\servercommon\proto\msgguild.proto","D:\project\serverGame\GameServer\common-lib\src\main\proto\cs\msgguild.proto","Different","575A4D3E331EA48A6990F7CC6C99210C32D4AE46","576B3102F90D69B68DCFEFE23F7045131C508430","C:\Users\trieu\AppData\Local\Temp\proto-diffs\msgguild.proto.diff.txt"
"msgknapsack.proto","D:\project\serverGame\开箱h5\server\server\src\servercommon\proto\msgknapsack.proto","D:\project\serverGame\GameServer\common-lib\src\main\proto\cs\msgknapsack.proto","Different","86968D3621EB63E4E562569FFCD85886BD8E2FED","B3E7DBA80C6B81B6BD8650D471FB0499A85A794F","C:\Users\trieu\AppData\Local\Temp\proto-diffs\msgknapsack.proto.diff.txt"
"msglingzhu.proto","D:\project\serverGame\开箱h5\server\server\src\servercommon\proto\msglingzhu.proto","D:\project\serverGame\GameServer\common-lib\src\main\proto\cs\msglingzhu.proto","Different","9731C8F0998532FF61824C770DE40417C8DC5509","9095CA40ED525EFAB02A153D447C6CE7257D48EF","C:\Users\trieu\AppData\Local\Temp\proto-diffs\msglingzhu.proto.diff.txt"
"msglogin.proto","D:\project\serverGame\开箱h5\server\server\src\servercommon\proto\msglogin.proto","D:\project\serverGame\GameServer\common-lib\src\main\proto\cs\msglogin.proto","Different","4B028D123650EAB1B517E74B79A8153744D6E3F0","CD786965A82168EFBAFF689AED85EB607DABFB1F","C:\Users\trieu\AppData\Local\Temp\proto-diffs\msglogin.proto.diff.txt"
"msgmail.proto","D:\project\serverGame\开箱h5\server\server\src\servercommon\proto\msgmail.proto","D:\project\serverGame\GameServer\common-lib\src\main\proto\cs\msgmail.proto","Different","BB154BB3DB7BCD522D77783D6686F4C036EAF692","52F1BC04374DE769F223A7DF44C59A48124F7D89","C:\Users\trieu\AppData\Local\Temp\proto-diffs\msgmail.proto.diff.txt"
"msgmainfb.proto","D:\project\serverGame\开箱h5\server\server\src\servercommon\proto\msgmainfb.proto","D:\project\serverGame\GameServer\common-lib\src\main\proto\cs\msgmainfb.proto","Different","D24E6C295867E0BDD7D07259AE82157F46C7347C","3CB0CCF5899D8939667D87752EFD0E8A08DB57C5","C:\Users\trieu\AppData\Local\Temp\proto-diffs\msgmainfb.proto.diff.txt"
"msgmount.proto","D:\project\serverGame\开箱h5\server\server\src\servercommon\proto\msgmount.proto","D:\project\serverGame\GameServer\common-lib\src\main\proto\cs\msgmount.proto","Different","4A8637AEC593B022AD0FD51041E040234409A7A8","87E1B4AEC81618C060E46D837E3B8CA0B92A23C8","C:\Users\trieu\AppData\Local\Temp\proto-diffs\msgmount.proto.diff.txt"
